,Time,Depth,Radius,Energy,Star_Stability,Temperature
53,8.47237911,1120.0,2.665,83.50999999999999,4.551,5354.0
55,12.61190435,6110.0,8.135000000000002,98.62,4.4235,5786.5
56,2.539183147,382.0,2.065,782.0400000000001,4.3614999999999995,5523.0
57,6.770300385,1300.0,2.925,119.19,4.613999999999999,5653.0
58,10.181584,5740.0,8.455,131.82999999999998,4.469,5979.0
59,20.06036336,1490.0,1.9449999999999998,3.995,4.759499999999999,3942.0
60,46.1842039,1390.0,1.8150000000000002,1.315,4.759499999999999,3942.0
61,23.9800854,104.0,1.3450000000000002,45.495,4.395999999999999,5848.0
62,7.82502168,521.0,1.19,14.005000000000003,4.759499999999999,3942.0
63,3.895936525,8540.0,7.779999999999999,287.18,4.5409999999999995,5557.0
64,22.36646466,987.0,2.4299999999999997,22.314999999999998,4.579000000000001,5395.0
65,1.625522174,7970.0,9.725000000000001,1529.47,4.3405000000000005,5543.5
66,19.62034692,21700.0,14.05,43.905,4.46,5705.5
67,9.02930689,1020.0,2.6599999999999997,88.115,4.5035,5349.0
68,143.2063047,10600.0,9.120000000000001,2.26,4.5225,5474.0
69,1.594745374,15000.0,12.18,1656.805,4.426,5925.0
70,4.783002698,1010.0,2.575,161.115,4.538499999999999,5170.0
71,20.50588921,2110.0,3.3950000000000005,17.49,4.558,4905.0
72,3.340218842,1630.0,2.01,43.605,4.759499999999999,3942.0
73,18.64932728,894.0,3.215,62.495000000000005,4.3765,5775.0
74,4.90144976,141.0,1.7149999999999999,607.385,4.192,5841.5
75,9.75192101,418.0,2.8549999999999995,148.415,4.3765,5775.0
76,38.5576546,993.0,4.1499999999999995,23.745,4.3765,5775.0
77,3.525632539,22300.0,11.79,223.745,4.55,5150.0
78,34.84398644,4520.0,8.015,19.110000000000003,4.4475,5509.0
79,7.748094239,2470.0,6.09,265.725,4.3545,5941.5
80,23.96793669,1180.0,1.7750000000000001,2.74,4.7364999999999995,3743.0
81,8.29561738,824.0,1.7950000000000002,11.265,4.7364999999999995,3743.0
