,kepid,Time,Impact,Depth,Radius,Energy,Star_Stability,Temperature
134,7366258,5.902245782,0.187,702.0,2.475,184.91000000000003,4.4510000000000005,5427.0
135,7366258,2.382951591,0.5315,392.0,1.9000000000000001,620.5,4.4510000000000005,5427.0
136,7373451,21.02250608,0.19799999999999998,1770.0,3.1049999999999995,18.18,4.573,5067.0
137,6948054,3.219814777,0.23,488.0,1.705,242.0,4.5520000000000005,5103.0
138,6949607,5.912273234,0.1855,961.0,1.725,27.83,4.6935,4068.0
139,6949607,8.98581901,0.1975,881.0,1.65,15.965,4.6935,4068.0
140,7109675,33.60123371,0.6475000000000001,7430.0,8.41,14.41,4.456,5164.5
141,7109675,6.76652928,0.22999999999999998,451.0,1.955,122.08000000000001,4.456,5164.5
142,7118364,4.347288783,0.21450000000000002,452.0,2.41,485.35,4.345,5754.0
143,7134976,4.601811819,0.36549999999999994,756.0,2.3049999999999997,148.975,4.5235,4986.0
144,7134976,11.18719905,0.2245,354.0,1.52,45.455,4.5235,4986.0
146,7287995,5.95489993,0.20550000000000002,1410.0,2.325,38.765,4.644500000000001,4261.0
147,7287995,12.03987488,0.2095,1250.0,2.175,15.155000000000001,4.644500000000001,4261.0
148,7287995,20.83762895,0.4735,439.0,1.415,7.285,4.644500000000001,4261.0
149,7303253,23.58917143,0.67,1200.0,3.145,13.745000000000001,4.577999999999999,4919.0
150,5094751,6.481633073,0.5555,299.0,2.535,409.135,4.216,5945.0
151,7678434,10.37168928,0.30800000000000005,1250.0,3.1500000000000004,62.464999999999996,4.4830000000000005,5117.0
152,7678434,3.96996298,0.5854999999999999,299.0,1.745,224.975,4.4830000000000005,5117.0
153,7685981,4.40841331,0.5780000000000001,549.0,2.89,512.135,4.3965,6007.0
155,7380537,2.688899233,0.031,37500.0,12.325,188.95999999999998,4.649,4813.0
156,7434875,9.439459486,0.161,3040.0,4.27,57.0,4.567,5097.0
157,8349582,11.52306746,0.152,507.0,3.145,179.57,4.1635,5648.5
158,7434875,3.336123113,0.236,516.0,1.78,228.545,4.567,5097.0
159,7455287,8.01078456,0.14400000000000002,1330.0,1.685,9.72,4.795,3704.0
160,7455287,12.07134205,0.266,759.0,1.2650000000000001,5.635,4.795,3704.0
161,7455287,20.99587872,0.202,767.0,1.2750000000000001,2.6950000000000003,4.795,3704.0
162,7458762,7.41113177,0.5609999999999999,621.0,2.71,207.34000000000003,4.4325,5831.5
163,757450,8.884922995,0.078,16100.0,10.504999999999999,84.61999999999999,4.507,5337.0
164,7585481,8.09888906,0.086,6910.0,9.93,296.55,4.361000000000001,6192.5
165,7663691,10.00653012,0.583,936.0,3.885,184.04,4.3919999999999995,6045.0
167,8018547,83.92494032,0.6475,7960.0,4.715,0.62,4.7485,3954.0
168,8039892,5.007316661,0.2915,6930.0,7.525,287.57,4.5,5843.0
169,8150320,2.211116989,0.43999999999999995,724.0,1.8900000000000001,185.82,4.641,4500.0
170,8150320,27.9541337,0.2325,943.0,1.9349999999999998,6.33,4.641,4500.0
171,7825899,16.23947096,0.193,2590.0,4.255,32.415,4.5280000000000005,5191.0
172,7825899,6.308201629,0.20650000000000002,1330.0,3.05,114.46,4.5280000000000005,5191.0
173,7849854,2.052349884,0.425,14300.0,13.535,1287.055,4.3694999999999995,5846.0
174,7870390,9.7704486,0.20400000000000001,1900.0,2.2,10.475,4.744,3902.0
175,7870390,5.169804269,0.209,1040.0,1.6400000000000001,24.494999999999997,4.744,3902.0
